# Rime table
# coding: utf-8
#@/db_name  custom_phrase_double.txt
#@/db_type	tabledb
#
# 自定义文本
#
# 以 Tab 分割：汉字<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（排在候选项的最前面）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以建议只固定非完整编码的字词，「的de」应为「的d」，「是shi」应为「是s」，「仙剑xianjian」应为「仙剑xj」。
#
# 最下面的英文是因为一些常用单词的第一候选项被纠错覆盖了，
# 比如 Amazon 被纠错为「a ma zong 阿妈粽」，
# 期望的 Amazon 跑到第二个候选项了，所以这里给它固定死喽。
#
# version: "2022-11-01"
#
# 此行之后不能写注释

# Tuzkiss's Personal Custom Phrase
PCDN	pcdn
GitHub	github
GLONASS	glonass
Gmail	gmail
Gneo	gneo
Google	google
GoPro	gopro
GPS	gps
GPU	gpu
Graffle	graffle
GRE	gre
GSM	gsm
GaN	gan
GUI	gui
Gujarati	gujarati
Gurmukhi	gurmukhi
Hangouts	hangouts
HDMI	hdmi
HDR	hdr
Herculanum	herculanum
HHKB	hhkb
HIEF	hief
HiRise	hirise
HOSTS	hosts
Houdini	houdini
HSPA	hspa
HTC	htc
HTML	html
HTTP	http
HTTPS	https
iBeacon	ibeacon
ICQ	icq
iExplorer	iexplorer
iFFmpeg	iffmpeg
iFixit	ifixit
IFTTT	ifttt
iKlear	iklear
IMAP	imap
iMessage	imessage
iMore	imore
iMovie	imovie
Inconsolata	inconsolata
Ingress	ingress
InsomniaX	insomniax
IP	ip
iPack	ipack
IPN	ipn
IPS	ips
iPerf	iperf
iSight	isight
iTerm	iterm
jEdit	jedit
JOE	joe
JPEG	jpeg
Kailasa	kailasa
Kefa	kefa
Keka	keka
Keycard	keycard
KeyCue	keycue
Kile	kile
Kindle	kindle
KMail	kmail
Kodi	kodi
Kokonor	kokonor
Konqueror	konqueror
Krita	krita
Krungthep	krungthep
Lacie	lacie
LED	led
Lexar	lexar
Linux	linux
Live Photo	live photo
LTE	lte
Luminari	luminari
Mac	mac
MacID	macid
Manico	manico
MaterialIcons	material icons
MAYA	maya
Mbps	mbps
MediumItalic	mediumit
Mextures	mextures
MIPS	mips
Mishafi	mishafi
MitM	mitm
MOBI	mobi
Moke	moke
Moom	moom
Mountie	mountie
Moves	moves
MariaDB	maria
Movist	movist
Mozilla	mozilla
MPlayer	mplayer
MplayerX	mplayer
Mshtakan	mshtakan
mStand	mstand
MTU	mtu
Multi-Touch	multi touch
Muna	muna
Nadeem	nadeem
Nano	nano
NAS	nas
NAT	nat
NBA	nba
NEdit	nedit
Netpadd	netpadd
NewPeninim	newpeninim
NFC	nfc
Niantic	niantic
Noizio	noizio
NTFS	ntfs
Oculus	oculus
OnyX	onyx
Oriya	oriya
OTA	ota
Pages	pages
Pastebot	pastebot
Paw	paw
PayPal	paypal
PDF	pdf
Picatext	picatext
Pico	pico
Pikachu	pikachu
Pixave	pixave
PNG	png
POP	pop
Potion	potion
PPPoE	pppoe
PPT	ppt
PRC	prc
Prisma	prisma
Privoxy	privoxy
Pro	pro
ProMotion	promotion
Promotee	promotee
Proxifier	proxifier
PSP	psp
PSPad	pspad
PuTTY	putty
PVC	pvc
Quiver	quiver
Raanana	raanana
Radeon Pro	radeon pro
Rails	rails
Rdio	rdio
Reeder	reeder
Regulex	regulex
Results	results
RMB	rmb
RSS	rss
RTSP	rtsp
Sana	sana
Sathu	sathu
Savoye	savoye
Scapple	scapple
SciTE	scite
Scrivener	scrivener
SeaTable	seatable
SDK	sdk
Seravek	seravek
Shree	shree
Sigil	sigil
Silom	silom
Sinhala	sinhala
Skia	skia
Skype	skype
Slicy	slicy
Smartisan	smartisan
SMB	smb
SMTP	smtp
Snagit	snagit
SOCKS	socks
Sonos	sonos
SPDY	spdy
Spendee	spendee
Spotify	spotify
Spss	spss
sRGB	srgb
SSD	ssd
SSH	ssh
SSID	ssid
STM	stm
Stage Manager	stage manager
Tag	tag
Tags	tags
Tahoma	tahoma
TCP	tcp
Things	things
Trattatello	trattatello
Trello	trello
TTL	ttl
Tumblr	tumblr
TUN	tun
Twitter	twitter
Typora	typora
UAP	uap
uBlock	ublock
UDP	udp
UMTS	umts
UniFi	unifi
Unix	unix
URL	url
USB	usb
VanDyke	vandyke
Verdana	verdana
Versions	versions
Vesper	vesper
VGA	vga
Vim	vim
Visio	visio
VLC	vlc
VMware	vmware
VoLTE	volte
VPN	vpn
Waltr	waltr
Waseem	waseem
WCDMA	wcdma
Webdings	webdings
WEP	wep
Wiki	wiki
Winamp	winamp
Windows	windows
WINS	wins
WinSCP	winscp
WLAN	wlan
WMP	wmp
WPA	wpa
WPS	wps
WWDC	wwdc
Xbmc	xbmc
Xbox	xbox
Xee	xee
Xeon	xeon
XMind	xmind
xScope	xscope
yEd	yed
Yudit	yudit
Zapfino	zapfino
ZEALER	zealer
Zowie	zowie
After Effects	after effects
Adobe Illustrator	adobe illustrator
Adobe Photoshop	adobe photoshop
Afterlight	after light
Air Display	air display
Air Video	air video
AirDroid	air droid
AirDrop	air drop
airFiber	air fiber
Airmail	air mail
airMAX	air max
AirPlay	air play
AirPods	air pods
AirPods Pro	air pods
AirPort	air port
Al Nile	alnile
Al Tarikh	altarikh
Alphabet	alpha bet
Amazon Cloud Drive	acd
Amazon Fire	amazon fire
AmazonBasics	amazon basics
AMOLED	amoled
AmpliFi	amplifi
Andale Mono	andale mono
Animoji	ani moji
App Store	app store
Apple Configurator	apple configurator
Apple Developer	apple developer
Apple EarPods	apple earpods
Apple File System	apfs
Apple ID	apple id
Apple Lossless	apple lossless
Apple Music	apple music
Apple News	apple news
Apple Pay	apple pay
Apple Pencil	apple pencil
Apple Remote	apple Remote
Apple Store	apple store
Apple TV	apple tv
Apple Watch	apple watch
AppleCare+	apple care
AppShopper	app shopper
AptBackup	apt backup
ATM 機	atm ji
AutoCAD	auto cad
Baidu	baidu
BBEdit	bbedit
Better Rename	better rename
BetterTouchTool	btt
BetterZip	better zip
Beyond Compare	beyond compare
Bitcron	bitcron
BitDefender	bit defender
BitLocker	bit locker
Blizzard	bliz
Bluetooth	blue tooth
BoldItalic	bold italic
Bose soundlink	bose soundlink
Bradley Hand	bradley hand
Brush Script	brush script
BundleHunt	bundle hunt
Bypass	by pass
Byword	by word
C++	cpp
CallMaster	call master
CarPlay	car play
CCTV	cctv
Chalkboard	chalk board
Chrome	chrome
Chalkduster	chalk duster
CheatSheet	cheat sheet
ChemBioDraw	chem bio draw
Cisco IPSec	cisco ipsec
CloudApp	cloud app
CloudMagic	cloud magic
cnBeta	cnbeta
CNN	cnn
Cocoa Touch	cocoa touch
CodeBox	code box
CodeKit	code kit
CodeRunner	code runner
CoffeeScript	coffee script
ColorSchemer	color schemer
ColorSnapper	color snapper
Combat Power	combat power
Comic Sans MS	comic sans ms
ConTEXT	context
Control Center	control center
CorelDRAW	corel draw
Cornerstone	corner stone
Courier New	courier new
Crimson Editor	crimson editor
CSS	css
D-Link	dlink
DailyCost	daily cost
DaisyDisk	daisy disk
Dashboard	dash board
Datagraph	data graph
DataMeter	data meter
Day One	day one
DDoS	ddos
Developer Preview	developer preview
DEVONthink	devon think
DevOps	devops
DIN Alternate	din alternate
DIN Condensed	din condensed
Disk Utility	disk utility
DiskMaker	disk maker
DisplayPort	display port
Diwan Kufi	diwan ku fi
Diwan Thuluth	diwan thuluth
DJI	dji
DNA	dna
Double Tour	double tour
Dreammail	dream mail
Dribbble	dribbble
Dropbox	drop box
Dropshare	drop share
Dropzone	drop zone
DynamicLyrics	dynamic lyrics
Dyson	dyson
Easytime	easy time
EdgeRouter	edge router
EditPad lite	editpad lite
EditPlus	edit plus
El Capitan	el capitan
Emmet	emmet
Emoji	emoji
EuphemiaCAS	euphemia cas
EV-DO	evdo
ExtraLight	extra light
Face ID	face id
Facebook	face book
FaceTime	face time
Fantastical	fantas
FAT32	fat
FIFA	fifa
FileBrowser	file browser
FileVault	file vault
Final Cut Pro	final cut pro
FineReader	fine reader
Firefox	fire fox
FireWire	fire wire
Flipboard	flip board
Focus Pixels	focus pixels
FontAwesome	font awesome
Foobar2000	foobar
Force Touch	force touch
Forecast	fore cast
ForkLift	fork lift
Foxmail	fox mail
Frank DeLoupe	frank deloupe
Fura Code	fura code
Fura Mono	fura mono
Fusion Drive	fusion drive
Game Center	game center
GarageBand	garage band
GBoard	gboard
Geekbench	geek bench
Genius Bar	genius bar
GFW	gfw
GhostNote	ghost note
GhostTile	ghost tile
Gif Brewery	gif brewery
GitHub Gist	github
Gitter	gitter
GNU	gnu
GOM Player	gom player
GoodReader	good reader
Google Chrome	google
Google Docs	google docs
Google Drive	google drive
Google Maps	google maps
Google Music	google music
Google Play	google Play
Great Ball	great ball
GSW	gsw
Handoff	hang off
HeavyItalic	heavy italic
Hermès	hermes
HEVC	hevc
Hoefler Text	hoefler text
HoloLens	holo lens
Homebrew	home brew
HomeKit	home kit
HomePod	home pod
HTC Vive	htc
HTML5	html wu
Hyper Potion	hyper potion
iA Writer	ia writer
iBooks Author	ibooks
iBooks	ibooks
iCloud	icloud
iCloud Drive	icloud drive
IDE	ide
IKEv2	ikev
ImageOptim	image optim
IMDb	imdb
InaiMathi	inai mathi
Infographics	info graphics
infoQ	infoq
Instacast	insta cast
Instaframe Pro	insta frame
Instagram	insta gram
Instashare	insta share
Intel Core	intel core
Intellij IDEA	intellij idea
Internet Explorer	internet explorer
intoLive	into live
iOS	ios
Ion-X	ionx
iMac	imac
iMac Pro	imac
IP 地址	ip di zhi
iPad	ipad
iPad Air	ipad
iPad mini	ipad
iPad Pro	ipad
iPadOS	ipad
iPhone	iphone
iPod	ipod
iPod classic	ipod
iPod mini	ipod
iPod nano	ipod
iPod shuffle	ipod
iPod touch	ipod
IPTV	iptv
IPv4	ipv
IPv6	ipv
iStat Menus	istat menus
iThoughtsX	ithoughts
iTunes	itunes
iTunes Connect	itunes connect
iTunes Match	itunes match
iWatch	iwatch
iMazing	imazing
iWork	iwork
J2EE	jtee
Jailbreak	jail break
JavaScript	java script
Jay	jay
JetBrains	jetb
JS Blocker	jsb
JSLint	jslint
Just Mobile	just mobile
Kaleidoscope	kaleido scope
Karabiner	kara biner
Keyboard Maestro	keyboard maestro
Kindle Format	kindle
Kindle Oasis	kindle
Kindle Paperwhite	kindle
Kindle Unlimited	kindle
Kindle Voyage	kindle
Klib	klib
L2TP	lrtp
Launch Center Pro	lcp
Launchpad	launch pad
LibreOffice	libre office
LightItalic	light italic
Lightning	light ning
LiteBeam	lite beam
Little Snitch	little snitch
Live Cams Pro	live cams pro
LiveReload	live reload
Local Client	local client
LockScreen	lock screen
Lucky Egg	lucky egg
Lure Module	lure module
Mac App Store	mas
Mac mini	mac mini
Mac Pro	mac pro
Mac Rumors	mac rumors
MacBook Air	macbook
MacBook Pro	macbook
macOS	macos
macOS Ventura	macos
macOS Monterey	macos
MacTips	mac tips
Magic Keyboard	magic keyboard
Magic Mouse	magic mouse
Magic Trackpad	magic trackpad
MagSafe	mag safe
Mailbox	mail box
MailTags	mail tags
MAMP PRO	mamp pro
MarkDown	mark down
MarkEditor	mark editor
MarsEdit	mars edit
Mathtype	math type
MarginNote	margin note
Metapad	meta pad
Memoji	memoji
Micro SD	micro sd
Micro-SIM	micro sim
Microsoft	micro soft
Microsoft Office	microsoft office
Sans Serif	sans serif
Virtual PC	virtual pc
Microsoft Word	microsoft word
MindNode	mind node
Mini DisplayPort	mdp
Mishafi Gold	mishafi gold
Mission Control	mission control
Mobile Mouse	mobile mouse
Money Monitor	money monitor
MoneyWiz	money wiz
MTV	mtv
Multi-Touch	multi touch
MyriadPro	myriad pro
myTV SUPER	mytv
Nano-SIM	nano sim
NanoBeam	nano beam
NeoeEdit	neoe edit
NetBIOS	net bios
Netflix	net flix
Niantic	niantic
Nikon	nikon
Notability	not ability
Notepad	note pad
Notepad++	note pad
NoteTab	note tab
nPlayer	nplayer
NuPro	nupro
nvALT	nvalt
Nvidia	nvidia
Objective-C	objc
Objective-C	objective
Oculus Rift	oculus
Oculus VR	oculus
OfficeSuite	office suite
Olympics	olymipcs
OmmWriter	omm writer
OmniFocus	omnif
OmniGraffle	omnig
OmniOutliner	omnio
OmniPlan	omni plan
OneDrive	one drive
OneNote	one note
OpenVPN	open vpn
Oracle Database	oracle database
LTPO OLED	oled
OLED	oled
OS X	osx
OS X Server	osx
OS X Server	osx server
Outlook Express	outlook express
PaintCode	paint code
Parallels Desktop	pd
Perl	perl
Photo Booth	photo booth
PhotoDesk	photo desk
Photoshop	photo shop
PhpStorm	php storm
Ping Hei	ping hei
PingWest	ping west
Pixelmator	pixel mator
Play by Play	play by play
PlayStation	play station
PlistEdit	plist edit
Plurk	plurk
Poké Ball	poke ball
Pokémon	pokemon
Pokémon GO	pokemon
Pokétop	poketop
PopClip	pop clip
POWER UP	power up
PowerPoint	power point
PragmataPro	pragmata pro
PRAM	pram
Proxy Group	proxy group
Public Beta	public beta
PyCharm	pycharm
PDF Expert	pdf expert
QuickTime Player	quick time player
RAM	ram
Razz Berry	razz berry
Readability	read ability
Readkit	read kit
RealPlayer	real player
RegularItalic	regular italic
Remote Client	remote client
RescueTime	rescue time
Resilio Sync	resilio sync
RexEdit	rex edit
RightFont	right font
RobotoSlab	roboto slab
RocketDish	rocket dish
ROM	rom
Ruby on Rails	ror
RubyMine	ruby mine
Runtastic Pro	run tastic pro
Sabrent USB	sabrent usb
Safari	safari
Safari View Controller	svc
SaneDesk	sane desk
SAP	sap
Sauce Code Pro	sauce code pro
Scala	scala
Scrapbook	scrap book
ScreenFloat	screen float
ScreenFlow	screen flow
Screens VNC	screens vnc
SecureCRT	secure crt
Semibold	semi bold
Shadowsocks	ss
SignPainter	sign painter
SIM	sim
eSIM	esim
SIM 卡	sim ka
Simplenote	simple note
SimpleText	simple text
Single Tour	single tour
Siri	siri
Siri Remote	siri remote
Sleep Cycle	sleep cycle
Slide Over	slide over
Smart Connector	smart connector
Smart Cover	smart cover
Smart Keyboard	smart keyboard
Smartisan OS	smartisan
Snapselect	snap select
SnellRoundhand	snell round hand
Softimage	soft image
Software Development Kit	sdk
Solar Walk	solar walk
SourceTree	source tree
Sparkbox	spark box
Specialist	specia list
Speedtest	speed test
Splashtop	splash top
Split View	split view
Spotlight	spot light
SQL Server	sql server
StackSocial	stack social
Statistics	stati stics
Steve Jobs Theater	steve jobs theater
StockWatch	stock watch
Sublime Text	sublime text
Super Potion	super potion
SuperClarendon	super clarendon
Surge	surge
Surge iOS	surge ios
Surge Mac	surge mac
Swift Playgrounds	swift playgrounds
SwipeSelection	swipe selection
Symbian	symbian
Symbol	symbol
Sync for Firefox	sync for firefox
Synology NAS	synology nas
Taobao	tao bao
Taptic Engine	taptic engine
TCP/IP	tcp ip
TeamViewer	team viewer
TechWeb	tech web
TED	ted
TeeVee	teevee
Telegram	telegram
Tencent	tencent
TestFlight	test flight
Texshop	texshop
Textastic	text astic
TextExpander	text expander
TextGrabber	text grabber
TextMate	text mate
TextPad	textpad
TextWrangler	text wrangler
The Unarchiver	the unarchiver
Thunderbird	thunder bird
Thunderbolt	thunder bolt
Thunderbolt Bridge	thunderbolt bridge
Thunderbolt Ethernet	thunderbolt ethernet
Time Capsule	timec
Time Machine	timem
TinkerTool	tinker tool
Touch ID	touch id
TP-LINK	tplink
Trebuchet MS	trebuchet ms
True Tone	true tone
Tupac	tupac
Turbo Boost	turbo boost
Tuxera Disk Manager	tuxera
tvOS	tvos
Tweetbot	tweet bot
Twist Plus	twist plus
Ubuntu	ubuntu
UIM 卡	uim
Ultra Ball	ultra ball
UltraEdit	ultra edit
Ultralight	ultra light
Ultrathin	ultra thin
UniFi Security Gateway	unifi
UniFi Switch	unifi
URL Scheme	url scheme
USB-A	usb a
USB-C	usb c
USIM 卡	usim ka
V2EX	vtex
Vimeo	vimeo
VirtualBox	virtual box
VPS	vps
Warcraft	warcraft
Warriors	warriors
watchOS	watch os
WeChat	wechat
Weibo	weibo
WebRTC	web rtc
WhatsApp	whats app
Whispersync	whisper sync
Wi-Fi	wifi
WiFi	wifi
WiFi Explorer	wifi explorer
WiFi Scanner	wifi scanner
Wikipedia	wiki
Window Tidy	window tidy
Windows Live Mail	windows live
Windows Live Messenger	windows live messenger
Wireless Keyboard	wireless keyboard
Withings Thermo	withings thermo
WLAN + Cellular	wlan jia
Wordpress	word press
WordStar	word star
Workflow	work flow
WorkFlowy	work flowy
WORKGROUP	work group
World of Warcraft	wow
World Wide Web	www
WPA2	wpa
WPS Office	wps office
Writer Pro	writer pro
X-Ray	xray
Xbox One	xbox
Xcode	xcode
XcodeDigits	xcode digits
XtraFinder	xtra finder
Youku	you ku
YouTube	you tube
Yummy FTP	yummy ftp
ZeroNet	zero net
Zhihu	zhi hu
β 粒子	bei ta li zi
β 射線	bei ta she xian
γ 刀	gama
γ 射線	gama
 MUSIC	apple music
 PAY	apple pay
 WATCH	apple watch
	apple logo
